title,summary,detail_url,resource_type
Academic Integrity FAQs for Students,Get answers to your questions related to Academic Integrity,https://successportal.conestogac.on.ca/students/docs/detail/286?filename=Academic-Integrity-FAQs-for-Students.pdf,doc
Assistive Software,We have the following software available at all Conestoga campuses within the designated assistive technology space(s).,https://successportal.conestogac.on.ca/students/infoPages/detail/20/assistive-software,link
Tracking Your Job Search and Networking,"Staying organized, focused and motivated as you prepare for and conduct your job search is an essential part of success.  Setting goals, tracking your applications and networking activities will help!",https://successportal.conestogac.on.ca/students/docs/detail/298?filename=Job-Search-and-Networking-Tracking-.pdf,doc
Understanding Apprenticeships,"An apprenticeship can lead to a very rewarding career.  Learn more about essential steps to help you explore trades, assess your fit, and understand the certification process so you can make informed decisions and successfully build your career in the trades!",https://successportal.conestogac.on.ca/students/docs/detail/296?filename=Understanding-Apprenticeships.pdf,doc
Apprenticeship Pathway,An apprenticeship involves several key steps.  Review this tip sheet to understand the process an apprentice will typically go through that leads to certification as a Journey Person.,https://successportal.conestogac.on.ca/students/docs/detail/295?filename=Apprenticeship-Pathway.pdf,doc
Working-on-Campus,"Conestoga College recruits numerous students for on-campus/work study opportunities each term. Various departments from Conestoga College will post their available student positions on the MyCareer 
job board.",https://successportal.conestogac.on.ca/students/docs/detail/175?filename=Working-On-Campus.pdf,doc
Job Search Websites,Helpful job search websites for students and new graduates seeking employment.,https://successportal.conestogac.on.ca/students/docs/detail/40?filename=Helpful-Job-Search-Websites.pdf,doc
Cold Calling,Cold calling is contacting an employer that you have not been in touch with before. It is one of the most effective ways of tapping into the hidden job market (jobs that are not advertised).  Learn how to use this tool to support your job search.,https://successportal.conestogac.on.ca/students/docs/detail/32?filename=Cold-Calling.pdf,doc
Working Part-Time When You Are A Student,"When you are looking for part-time work it is important to find something that will allow you to prioritize your studies. This resource discusses typical part-time student jobs, jobs on campus and common methods for searching for part-time work.",https://successportal.conestogac.on.ca/students/docs/detail/39?filename=Working-Part-Time-as-a-Student.pdf,doc
Disclosure and Accommodations in the Workplace,"This resource examines the timing, advantages, disadvantages and things to consider when considering disclosure and accommodations requests during the recruitment  process.",https://successportal.conestogac.on.ca/students/docs/detail/45?filename=Disclosure-and-Accommodations-in-the-Workplace.pdf,doc
"Equity, Diversity and Inclusion (EDI) in the Workplace Resources","This tip sheet offers key resources for researching employers, finding EDI-focused job postings, and understanding related legislation. Whether you're starting out or advancing your career, these tools will help you navigate EDI with insight and confidence.",https://successportal.conestogac.on.ca/students/docs/detail/294?filename=Equity%2C-Diversity-and-Inclusion-in-the-Workplace-Resources.pdf,doc
Writing Services Virtual Drop-in Schedule Spring 2025,Virtual drop-in schedule for Writing Services,https://successportal.conestogac.on.ca/students/docs/detail/293?filename=Virtual-Writing-Services-Drop-in.pdf,doc
Writing Services Drop-in Schedule Spring 2025,Writing Services In-Person Drop-In Hours,https://successportal.conestogac.on.ca/students/docs/detail/292?filename=Writing-Services-Drop-in.pdf,doc
Repeating Courses,definition of what it means for repeating courses,https://successportal.conestogac.on.ca/students/infoPages/detail/52/repeating-courses,link
Learning Plan and Learning Contract,definition of what a learning plan and learning contract are,https://successportal.conestogac.on.ca/students/infoPages/detail/51/learning-plan-and-learning-con,link
Cover Letters,"This resource explains the purpose and components of a cover letter, and provides a sample.",https://successportal.conestogac.on.ca/students/docs/detail/17?filename=Cover-Letters.pdf,doc
Medical Clinic Uninsured Services,Uninsured services offered by the Conestoga College Medical Clinic.,https://successportal.conestogac.on.ca/students/infoPages/detail/50/medical-clinic-uninsured-servi,link
The Job Offer,Negotiating a job offer can be stressful and intimidating. This resource provides some helpful tips for negotiating an offer of employment.,https://successportal.conestogac.on.ca/students/docs/detail/44?filename=The-Job-Offer.pdf,doc
Social Media Checklist,"As you prepare to enter the professional world, it's crucial to ensure your social media presence reflects your career goals. This checklist will guide you in transforming your online profiles into powerful tools to make a positive impression on potential employers and standing out in your field.",https://successportal.conestogac.on.ca/students/docs/detail/291?filename=Social-Media-Checklist-.pdf,doc
Job Searching with Social Media,"In today's digital age, social media is a powerful tool for job searching. Beyond connecting with friends, platforms like LinkedIn help you network with potential employers. This tip sheet will guide you on leveraging social media to enhance your job search and present your best professional self.",https://successportal.conestogac.on.ca/students/docs/detail/290?filename=Job-Searching-with-Social-Media-.pdf,doc
Managing Stress,"Learn how the stress cycle can impact you, and what you can do to overcome it.",https://successportal.conestogac.on.ca/students/docs/detail/288?filename=Stress-Inforgraphic_FINAL_DIGITAL.pdf,doc
Support for Discontinued Students,in-person and virtual drop-in support for discontinued students,https://successportal.conestogac.on.ca/students/infoPages/detail/48/support-for-discontinued-stude,link
Using Elevator Pitch in VMock,Learn how to use VMock to practice your interview skills or 30 second personal pitch.,https://successportal.conestogac.on.ca/students/videos/detail/38/using-elevator-pitch-in-vmock,link
Understanding VMock feedback,Learn how to upload a resume and understand the feedback that VMock gives you.,https://successportal.conestogac.on.ca/students/videos/detail/37/understanding-vmock-feedback,link
Volunteering: The Benefits and How to Find Opportunities,"Volunteering can significantly boost your future job prospects by helping you gain valuable experience, develop skills, build your resume, and establish a network of references. Curious to learn more? Check out this tip sheet to discover how volunteering can be a game-changer for your future!",https://successportal.conestogac.on.ca/students/docs/detail/287?filename=Volunteering-Benefits-and-Opportunities.pdf,doc
What is a Social Insurance Number and Why You Need One,"This document provides information on Social Insurance Numbers (SIN), how to apply for your SIN, why you need a SIN to work in Canada, and how to protect it from being used by others.",https://successportal.conestogac.on.ca/students/docs/detail/127?filename=Social-Insurance-Number.pdf,doc
Harm Reduction Approach to Substance Use,"Learn more information on this approach as well as resources, harm reduction strategies, and community contacts",https://successportal.conestogac.on.ca/students/docs/detail/283?filename=Harm-Reduction-Infographic_DIGITAL.pdf,doc
Following Up After a Job Fair or Networking Event,After you attend a job fair or a networking event it is important to follow up with key contacts you've made!   This tip sheet will help you understand how to do this in a timely and professionally manner.,https://successportal.conestogac.on.ca/students/docs/detail/285?filename=Job-Fair-and-Networking-Follow-Up.pdf,doc
Student Success Resources and Services,An overview of the services Student Success offers.,https://successportal.conestogac.on.ca/students/docs/detail/284?filename=Conestoga-Student-Services_Students.pdf,doc
Disability-Related Accommodation Process,"The academic accommodation process is a collaborative effort between students and Accessible Learning. The goal is to reach agreement on appropriate accommodations, ensuring students have equitable access to their education. Faculty may be involved in this process as experts in academic requirements.While we do not share students’ health...",https://successportal.conestogac.on.ca/students/faqs/detail/93/disability-related-accommodati,faq
Conestoga Laptop and Technology Orientation,,https://successportal.conestogac.on.ca/students/links/detail/91,link
Tech Help,,https://successportal.conestogac.on.ca/students/links/detail/90,link
TechFAQ,,https://successportal.conestogac.on.ca/students/links/detail/89,link
Digital Skills Toolkit,,https://successportal.conestogac.on.ca/students/links/detail/88,link
Before Your Assessment,Tips of what to do before writing in the Test Centre,https://successportal.conestogac.on.ca/students/infoPages/detail/42/before-your-assessment,link
After Your Assessment,What to expect after an assessment in the Test Centre,https://successportal.conestogac.on.ca/students/infoPages/detail/44/after-your-assessment,link
During Your Assessment,Considerations for during your assessment in the Test Centre,https://successportal.conestogac.on.ca/students/infoPages/detail/43/during-your-assessment,link
Student Rights & Responsibilities FAQs,"Who do I contact if I have an emergency or safety concern?If you feel unsafe or need immediate attention on-campus, contact Safety and Security.If you are off campus, contact emergency services by calling 911.If you are in crisis and need urgent mental health support, the following resources can help: 
Suicide Crisis Helpline (all of Canada):...",https://successportal.conestogac.on.ca/students/faqs/detail/92/student-rights-and-responsibil,faq
